Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
UA,14.08,2018/03/16,16:03 EDT,0.25,13.87,14.2593,13.69,4076207,,,,,,,
GE,14.31,2018/03/16,16:00 EDT,-0.049999237,14.34,14.42,14.175,114488969,,,,,,,
MRVL,23.18,2018/03/16,16:00 EDT,-0.010000229,23.35,23.45,23.05,6957895,,,,,,,
DIS,102.87,2018/03/16,16:03 EDT,-0.36999512,103.56,104.27,102.84,10467983,,,,,,,
GOOGL,1134.42,2018/03/16,16:00 EDT,-16.189941,1155.35,1156.81,1131.36,2932759,,,,,,,
AAPL,178.02,2018/03/16,16:00 EDT,-0.6299896,178.65,179.12,177.62,39404688,,,,,,,
FB,185.09,2018/03/16,16:00 EDT,1.2299957,184.49,185.33,183.41,24403438,,,,,,,
TYCB,35.3,2018/03/06,11:11 EST,0.0,0.0,0.0,0.0,0,,,,,,,
JCP,3.12,2018/03/16,16:01 EDT,0.089999914,3.04,3.15,3.0,19989217,,,,,,,
BOAC34.SA,105.51,2018/03/16,16:00 EDT,0.069999695,107.47,107.47,105.51,10000,,,,,,,
